Running object 17999
('ROW:', 17999, 'Tau:', '2.930635198725901', 'V:', '-0.5747739228920569', 'dMu:', '-0.036314921025907596')
         12253849 function calls (12171010 primitive calls) in 95.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.010    0.002    0.011    0.002 backend_agg.py:85(__init__)
     1448    0.010    0.000    0.045    0.000 card.py:295(value)
    10461    0.010    0.000    0.013    0.000 _weakrefset.py:20(__enter__)
        1    0.010    0.010    0.012    0.012 polynomial.py:4(<module>)
     1325    0.010    0.000    0.129    0.000 text.py:189(__init__)
     4604    0.010    0.000    0.048    0.000 fromnumeric.py:851(argsort)
     3322    0.010    0.000    0.036    0.000 font_manager.py:970(_normalize_font_family)
     3512    0.010    0.000    0.023    0.000 type_check.py:185(iscomplex)
     2521    0.010    0.000    0.013    0.000 backend_pdf.py:2234(fillcolor_cmd)
    15806    0.010    0.000    0.088    0.000 backend_pdf.py:582(write)
     1445    0.010    0.000    0.010    0.000 {posix.stat}
     7391    0.010    0.000    0.019    0.000 validate.py:651(_check_value)
     1510    0.009    0.000    0.009    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       19    0.009    0.000    0.022    0.001 collections.py:305(namedtuple)
     1072    0.009    0.000    0.024    0.000 version.py:198(__init__)
     5853    0.009    0.000    0.055    0.000 fromnumeric.py:1934(any)
6719/6715    0.009    0.000    0.010    0.000 pyparsing.py:349(__init__)
    13311    0.009    0.000    0.009    0.000 {locals}
     2311    0.009    0.000    0.098    0.000 core.py:543(_get_physical_type_id)
    13790    0.009    0.000    0.090    0.000 _methods.py:40(_all)
     1448    0.009    0.000    0.012    0.000 column.py:1066(_convert_to_valid_data_type)
     4419    0.009    0.000    0.039    0.000 core.py:2051(add_unit)
     1745    0.009    0.000    0.014    0.000 posixpath.py:329(normpath)
    17347    0.009    0.000    0.013    0.000 sre_parse.py:142(__getitem__)
     5888    0.009    0.000    0.049    0.000 pyparsing.py:1465(set)
     4363    0.009    0.000    0.009    0.000 {method 'astype' of 'numpy.ndarray' objects}
    16195    0.009    0.000    0.009    0.000 {method 'write' of 'file' objects}
  344/337    0.008    0.000    0.086    0.000 {__import__}
     7393    0.008    0.000    0.041    0.000 validate.py:593(check)
     1472    0.008    0.000    0.076    0.000 card.py:716(_parse_value)
23651/23643    0.008    0.000    0.013    0.000 {method 'join' of 'str' objects}
     6341    0.008    0.000    0.142    0.000 transforms.py:128(invalidate)
    23268    0.008    0.000    0.039    0.000 {method 'add' of 'set' objects}
     1955    0.008    0.000    0.026    0.000 artist.py:856(_update_property)
      224    0.008    0.000    0.487    0.002 text.py:329(_get_layout)
     6646    0.008    0.000    0.011    0.000 posixpath.py:61(join)
      677    0.008    0.000    0.014    0.000 path.py:376(iter_segments)
        1    0.008    0.008    0.011    0.011 compressed.py:3(<module>)
     4104    0.008    0.000    0.267    0.000 markers.py:223(set_fillstyle)
     2920    0.008    0.000    0.097    0.000 card.py:580(_check_if_rvkc)
    12239    0.008    0.000    0.008    0.000 {method 'join' of 'unicode' objects}
      426    0.008    0.000    0.008    0.000 {numpy.core.multiarray.arange}
     1450    0.008    0.000    0.014    0.000 linalg.py:138(_commonType)
     9434    0.008    0.000    0.008    0.000 polynomial.py:1064(_coeffs)
     3694    0.008    0.000    0.013    0.000 lines.py:1054(_split_drawstyle_linestyle)
        2    0.008    0.004    0.256    0.128 column.py:1219(_init_from_array)
     1873    0.007    0.000    0.291    0.000 backend_pdf.py:1631(draw_path)
     7350    0.007    0.000    0.218    0.000 configuration.py:275(__get__)
     1295    0.007    0.000    0.009    0.000 font_manager.py:867(set_stretch)
     2960    0.007    0.000    0.199    0.000 card.py:275(value)
     2184    0.007    0.000    0.049    0.000 transforms.py:2290(__init__)
    14062    0.007    0.000    0.008    0.000 core.py:2021(__hash__)
    40530    0.007    0.000    0.007    0.000 core.py:1558(name)
     2495    0.007    0.000    0.066    0.000 transforms.py:1957(translate)
     1847    0.007    0.000    0.010    0.000 lines.py:1458(set_dash_capstyle)
2552/1952    0.007    0.000    0.237    0.000 spines.py:404(get_spine_transform)
    11355    0.007    0.000    0.007    0.000 colors.py:203(<genexpr>)
2691/2658    0.007    0.000    0.161    0.000 core.py:1988(__init__)
    24621    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        1    0.007    0.007   93.586   93.586 ClusterEmcee2_newprob_mu.py:273(preform_emcee)
     6074    0.007    0.000    0.009    0.000 threading.py:187(release)
     1847    0.007    0.000    0.026    0.000 lines.py:1086(set_linestyle)
     4319    0.007    0.000    0.017    0.000 artist.py:634(set_figure)
    21952    0.007    0.000    0.014    0.000 card.py:213(keyword)
     4645    0.007    0.000    0.017    0.000 artist.py:74(_stale_axes_callback)
    30234    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
     1448    0.006    0.000    0.243    0.000 column.py:741(name)
     8318    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
     2172    0.006    0.000    0.027    0.000 column.py:701(array)
     1448    0.006    0.000    0.123    0.000 card.py:935(_format_image)
     7393    0.006    0.000    0.047    0.000 configuration.py:447(_validate_val)
     1472    0.006    0.000    0.021    0.000 header.py:1123(append)
        1    0.006    0.006    0.006    0.006 {posix.read}
        9    0.006    0.001    0.130    0.014 core.py:178(add_enabled_units)
     1300    0.006    0.000    0.009    0.000 font_manager.py:885(set_size)
3854/2791    0.006    0.000    0.093    0.000 core.py:2110(decompose)
      232    0.006    0.000    0.016    0.000 linalg.py:315(solve)
     5516    0.006    0.000    0.020    0.000 utils.py:194(validate_power)
        1    0.006    0.006    0.017    0.017 ClusterEmcee2_newprob_mu.py:100(lnlike_old)
     9024    0.006    0.000    0.012    0.000 weakref.py:310(__new__)
     1448    0.006    0.000    0.103    0.000 card.py:899(_format_value)
     6074    0.006    0.000    0.008    0.000 threading.py:147(acquire)
      214    0.006    0.000    0.091    0.000 inspect.py:471(getmodule)
      207    0.006    0.000    0.006    0.000 {posix.listdir}
 1783/246    0.006    0.000    0.202    0.001 pyparsing.py:3375(parseImpl)
     2172    0.006    0.000    0.025    0.000 column.py:823(_verify_keywords)
