,filter,time,field,noise
586,z,57408.07421875,173.0,0.0018000000000000002
77,g,57425.14453125,173.0,0.0023
215,r,57425.1484375,173.0,0.0021000000000000003
361,i,57425.15080587,173.0,0.0022
587,z,57425.15345471,173.0,0.0018000000000000002
588,z,57425.15625,173.0,0.0018000000000000002
78,g,57623.41249288,173.0,0.0023
216,r,57623.41484359,173.0,0.0021000000000000003
362,i,57623.41689791,173.0,0.0022
589,z,57623.41952493,173.0,0.0018000000000000002
590,z,57623.421875,173.0,0.0018000000000000002
79,g,57627.37737055,173.0,0.0023
217,r,57627.38083444,173.0,0.0021000000000000003
363,i,57627.3828125,173.0,0.0022
591,z,57627.38556361,173.0,0.0018000000000000002
592,z,57627.38821244,173.0,0.0018000000000000002
80,g,57633.33025551,173.0,0.0023
218,r,57633.3326208,173.0,0.0021000000000000003
364,i,57633.33468481,173.0,0.0022
593,z,57633.33732016,173.0,0.0018000000000000002
594,z,57633.33984375,173.0,0.0018000000000000002
81,g,57637.32421875,173.0,0.0023
219,r,57637.32783394,173.0,0.0021000000000000003
365,i,57637.32988769,173.0,0.0022
595,z,57637.33203125,173.0,0.0018000000000000002
596,z,57637.3359375,173.0,0.0018000000000000002
82,g,57643.30859375,173.0,0.0023
220,r,57643.31085935,173.0,0.0021000000000000003
366,i,57643.31290958,173.0,0.0022
597,z,57643.31555265,173.0,0.0018000000000000002
598,z,57643.31820517,173.0,0.0018000000000000002
221,r,57645.24835706,173.0,0.0021000000000000003
367,i,57645.25042023,173.0,0.0022
599,z,57645.25306042,173.0,0.0018000000000000002
600,z,57645.25570981,173.0,0.0018000000000000002
83,g,57653.34600752,173.0,0.0023
222,r,57653.34834973,173.0,0.0021000000000000003
368,i,57653.35040595,173.0,0.0022
601,z,57653.35305443,173.0,0.0018000000000000002
602,z,57653.35546875,173.0,0.0018000000000000002
84,g,57660.265625,173.0,0.0023
223,r,57660.268683,173.0,0.0021000000000000003
369,i,57660.27075458,173.0,0.0022
603,z,57660.2734375,173.0,0.0018000000000000002
604,z,57660.27734375,173.0,0.0018000000000000002
85,g,57667.16609206,173.0,0.0023
224,r,57667.16844646,173.0,0.0021000000000000003
370,i,57667.17051226,173.0,0.0022
605,z,57667.17316963,173.0,0.0018000000000000002
606,z,57667.17578125,173.0,0.0018000000000000002
371,i,57673.234375,173.0,0.0022
607,z,57673.23828125,173.0,0.0018000000000000002
608,z,57673.2421875,173.0,0.0018000000000000002
372,i,57680.14453125,173.0,0.0022
609,z,57680.1484375,173.0,0.0018000000000000002
86,g,57681.16308886,173.0,0.0023
225,r,57681.16544466,173.0,0.0021000000000000003
373,i,57681.16796875,173.0,0.0022
610,z,57681.17015169,173.0,0.0018000000000000002
611,z,57681.17281309,173.0,0.0018000000000000002
87,g,57686.16015625,173.0,0.0023
226,r,57686.1640625,173.0,0.0021000000000000003
374,i,57686.16613214,173.0,0.0022
612,z,57686.16877301,173.0,0.0018000000000000002
613,z,57686.171875,173.0,0.0018000000000000002
88,g,57687.1640625,173.0,0.0023
227,r,57687.16779787,173.0,0.0021000000000000003
375,i,57687.16986,173.0,0.0022
614,z,57687.171875,173.0,0.0018000000000000002
