make pos
run sampler
run mcmc
sampler done
log_prob plot
max theta done
corner plot
         13333904 function calls (13227073 primitive calls) in 173.155 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.017    0.000    0.022    0.000 numeric.py:2508(within_tol)
    16483    0.017    0.000    0.017    0.000 {method 'join' of 'bytes' objects}
     7262    0.017    0.000    0.017    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     1448    0.017    0.000    0.028    0.000 column.py:203(__new__)
     4082    0.017    0.000    0.022    0.000 pyparsing.py:1021(preParse)
     8706    0.017    0.000    0.032    0.000 polynomial.py:1108(coeffs)
    21952    0.017    0.000    0.092    0.000 card.py:211(keyword)
4134/2931    0.017    0.000    0.338    0.000 core.py:2122(decompose)
      606    0.017    0.000    0.023    0.000 artist.py:953(update_from)
     1102    0.016    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     1448    0.016    0.000    0.493    0.000 column.py:741(name)
       87    0.016    0.000    0.016    0.000 {built-in method posix.listdir}
   778/12    0.016    0.000    5.019    0.418 <frozen importlib._bootstrap>:958(_find_and_load)
 1024/920    0.016    0.000    0.631    0.001 pyparsing.py:2912(parseImpl)
     1835    0.016    0.000    0.028    0.000 lines.py:1186(set_markeredgewidth)
     1110    0.016    0.000    0.177    0.000 font_manager.py:1000(get)
     1126    0.016    0.000    0.017    0.000 pyparsing.py:320(__getitem__)
    11126    0.016    0.000    0.016    0.000 core.py:2048(bases)
     3971    0.016    0.000    0.023    0.000 lines.py:68(_scale_dashes)
        4    0.016    0.004    0.085    0.021 collections.py:941(set_verts)
      408    0.016    0.000    0.016    0.000 {built-in method numpy.arange}
      457    0.016    0.000    0.036    0.000 axis.py:590(update_position)
     5176    0.016    0.000    0.121    0.000 fromnumeric.py:2397(amax)
     6439    0.016    0.000    0.467    0.000 transforms.py:128(invalidate)
     6162    0.016    0.000    0.023    0.000 sre_parse.py:248(match)
      754    0.016    0.000    0.022    0.000 posixpath.py:329(normpath)
     5426    0.016    0.000    0.016    0.000 {method 'copy' of 'dict' objects}
     9450    0.016    0.000    0.034    0.000 weakref.py:334(__new__)
     3932    0.016    0.000    0.065    0.000 type_check.py:213(iscomplex)
    13421    0.016    0.000    0.145    0.000 _methods.py:45(_all)
      657    0.016    0.000    0.077    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
       85    0.016    0.000    0.053    0.001 patches.py:87(__init__)
      535    0.015    0.000    0.073    0.000 inspect.py:1052(getfullargspec)
      388    0.015    0.000    0.063    0.000 text.py:901(get_prop_tup)
