Running object 17999
('ROW:', 17999, 'Tau:', '2.9100005447392197', 'V:', '-0.5787053374100214', 'dMu:', '-0.055292264765846394')
         12188382 function calls (12106005 primitive calls) in 81.822 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12225    0.004    0.000    0.004    0.000 {method 'lower' of 'unicode' objects}
      144    0.004    0.000    0.011    0.000 utils.py:42(_iter_unit_summary)
        1    0.004    0.004    0.119    0.119 colorbar.py:20(<module>)
     5935    0.004    0.000    0.004    0.000 {max}
       11    0.004    0.000    0.012    0.001 artist.py:1145(_get_setters_and_targets)
     1472    0.004    0.000    0.007    0.000 card.py:676(_parse_keyword)
      332    0.004    0.000    0.079    0.000 artist.py:667(set_clip_path)
      622    0.004    0.000    0.004    0.000 version.py:343(_cmpkey)
      136    0.004    0.000    0.077    0.001 backend_pdf.py:1709(draw_markers)
     1205    0.003    0.000    0.023    0.000 transforms.py:2648(__init__)
        1    0.003    0.003    0.008    0.008 __init__.py:169(<module>)
     1218    0.003    0.000    0.005    0.000 linalg.py:208(_assertNdSquareness)
     1808    0.003    0.000    0.011    0.000 lines.py:753(set_transform)
      764    0.003    0.000    0.041    0.000 markers.py:701(_set_tickleft)
     1808    0.003    0.000    0.005    0.000 lines.py:1419(set_dash_joinstyle)
     9274    0.003    0.000    0.003    0.000 {method 'split' of 'unicode' objects}
      764    0.003    0.000    0.040    0.000 markers.py:707(_set_tickright)
      483    0.003    0.000    0.007    0.000 path.py:172(_fast_from_codes_and_verts)
     1808    0.003    0.000    0.151    0.000 lines.py:1156(set_marker)
        1    0.003    0.003    0.003    0.003 hashlib.py:56(<module>)
      327    0.003    0.000    0.008    0.000 core.py:2934(__array_finalize__)
        1    0.003    0.003   81.853   81.853 ClusterEmcee2_newprob_mu_old.py:2(<module>)
     1048    0.003    0.000    0.003    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1448    0.003    0.000    0.005    0.000 card.py:225(keyword)
     2920    0.003    0.000    0.003    0.000 {method 'rsplit' of 'str' objects}
     1808    0.003    0.000    0.005    0.000 lines.py:1472(set_solid_capstyle)
    10069    0.003    0.000    0.007    0.000 sre_parse.py:207(match)
     3919    0.003    0.000    0.053    0.000 transforms.py:1173(__add__)
     6067    0.003    0.000    0.013    0.000 threading.py:215(__exit__)
     1873    0.003    0.000    0.004    0.000 backend_pdf.py:2169(fill)
      181    0.003    0.000    0.003    0.000 {method 'read' of 'file' objects}
     1529    0.003    0.000    0.008    0.000 text.py:238(update)
     7329    0.003    0.000    0.003    0.000 {method 'find' of 'str' objects}
2853/1253    0.003    0.000    0.105    0.000 _base.py:768(get_yaxis_transform)
     1808    0.003    0.000    0.136    0.000 lines.py:548(set_fillstyle)
     4350    0.003    0.000    0.003    0.000 pyparsing.py:186(__init__)
    16190    0.003    0.000    0.003    0.000 {method 'group' of '_sre.SRE_Match' objects}
  793/468    0.003    0.000    0.017    0.000 transforms.py:2392(get_affine)
        1    0.003    0.003    0.023    0.023 _axes.py:1(<module>)
     3468    0.003    0.000    0.012    0.000 re.py:138(match)
        5    0.003    0.001    0.032    0.006 __init__.py:3(<module>)
     2179    0.003    0.000    0.227    0.000 markers.py:163(__init__)
     2051    0.003    0.000    0.008    0.000 backend_pdf.py:251(__init__)
      310    0.003    0.000    0.120    0.000 axis.py:575(_get_gridline)
        2    0.003    0.002    0.010    0.005 __init__.py:15(<module>)
      488    0.003    0.000    0.003    0.000 font_manager.py:1168(score_stretch)
    14480    0.003    0.000    0.003    0.000 util.py:123(_notify)
     1808    0.003    0.000    0.004    0.000 lines.py:1222(set_markersize)
     1047    0.003    0.000    0.022    0.000 sre_compile.py:228(_compile_charset)
     1808    0.003    0.000    0.004    0.000 lines.py:1432(set_solid_joinstyle)
     1808    0.003    0.000    0.006    0.000 lines.py:1039(set_linewidth)
      642    0.003    0.000    0.005    0.000 font_manager.py:996(make_rcparams_key)
    10218    0.003    0.000    0.003    0.000 weakref.py:71(_commit_removals)
      340    0.003    0.000    0.053    0.000 patches.py:704(_update_patch_transform)
     1028    0.003    0.000    0.010    0.000 fromnumeric.py:37(_wrapit)
     1525    0.003    0.000    0.009    0.000 collections.py:149(pop)
     1358    0.003    0.000    0.022    0.000 core.py:1919(__init__)
      400    0.003    0.000    0.003    0.000 {method 'randint' of 'mtrand.RandomState' objects}
        4    0.003    0.001    0.031    0.008 header.py:324(fromstring)
      232    0.003    0.000    0.005    0.000 twodim_base.py:197(diag)
     5977    0.003    0.000    0.033    0.000 _methods.py:37(_any)
      672    0.003    0.000    0.034    0.000 markers.py:721(_set_tickdown)
2631/1131    0.003    0.000    0.100    0.000 _base.py:688(get_xaxis_transform)
      242    0.003    0.000    0.010    0.000 ticker.py:1676(_validate_steps)
        1    0.003    0.003    0.016    0.016 transforms.py:30(<module>)
       38    0.003    0.000    0.003    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     1024    0.003    0.000    0.047    0.000 backend_pdf.py:873(get_char_width)
     1523    0.003    0.000    0.014    0.000 collections.py:170(popitem)
     1808    0.003    0.000    0.009    0.000 lines.py:653(set_data)
        2    0.003    0.001    0.006    0.003 __init__.py:88(<module>)
      384    0.003    0.000    0.008    0.000 axis.py:590(update_position)
      672    0.003    0.000    0.033    0.000 markers.py:715(_set_tickup)
     1522    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.003    0.003    0.005    0.005 __init__.py:89(<module>)
     1558    0.003    0.000    0.003    0.000 {method 'decode' of 'str' objects}
        1    0.003    0.003    0.043    0.043 collections.py:1836(convert_mesh_to_paths)
     2384    0.003    0.000    0.005    0.000 lines.py:1233(set_xdata)
      282    0.003    0.000    0.017    0.000 sre_compile.py:433(_compile_info)
        2    0.003    0.001    0.322    0.161 __init__.py:11(<module>)
      285    0.003    0.000    0.105    0.000 axis.py:440(_get_gridline)
